scenario_label,projection_horizon,species,center,mean,sd,q025,q975
SSP2-4.5 2011-2040,2011-2040,PET_n,0.24046485691395791,0.2423512829368604,0.00856045985191475,0.2299470512301023,0.25851440493295436
SSP2-4.5 2011-2040,2011-2040,PIB_n,0.10810265701859716,0.10754462011616958,0.00475794554721722,0.09933673342092011,0.11703425957098788
SSP2-4.5 2011-2040,2011-2040,MEL_n,0.0405067061188919,0.04073390753369476,0.00323095642705085,0.03580877528496148,0.04651122220185063
SSP2-4.5 2011-2040,2011-2040,PIG_n,0.07594386353175575,0.07619757880333979,0.00410711482811251,0.06918440518358428,0.08329315281405972
SSP2-4.5 2041-2070,2041-2070,ERR_n,0.5559373301531976,0.5559414698082272,0.00828920127379172,0.5428947107026668,0.5722807544229533
SSP2-4.5 2041-2070,2041-2070,ERS_n,0.366363810379428,0.3666462841178945,0.0124519066432351,0.34692401301214804,0.38580353727829897
SSP2-4.5 2041-2070,2041-2070,BOJ_n,0.4169140471115936,0.4197238518562776,0.01190033502461483,0.404599499028736,0.44236222591923313
SSP2-4.5 2041-2070,2041-2070,BOP_n,0.6133472513110412,0.6110625284023516,0.00882251002716863,0.5967152119172016,0.6274848277126366
SSP2-4.5 2041-2070,2041-2070,EPB_n,0.4875226915223515,0.4861343851565487,0.01160619305793576,0.46526671476231096,0.5035976064467687
SSP2-4.5 2041-2070,2041-2070,SAB_n,0.7799571432353074,0.7806152078771402,0.00770879936143371,0.7646740330951101,0.7930037450613676
SSP2-4.5 2041-2070,2041-2070,EPN_n,0.3153671305474561,0.3139285275876602,0.00682407345292119,0.3016752013949164,0.32464524346196033
SSP2-4.5 2041-2070,2041-2070,THO_n,0.34026666661828575,0.3406311068725587,0.01186957062225279,0.32310654439072484,0.3683017461554941
SSP2-4.5 2041-2070,2041-2070,PRP_n,0.12518664361800508,0.1253739291943396,0.01217682807239048,0.10965300950095482,0.1487732742485911
SSP2-4.5 2041-2070,2041-2070,PET_n,0.29591436992737763,0.2946874373077994,0.01231973884486228,0.27422017445802416,0.3148297281355555
SSP2-4.5 2041-2070,2041-2070,PIB_n,0.16071772903035544,0.16204789871797348,0.01598595177476196,0.14064404332688524,0.20246225480457297
SSP2-4.5 2041-2070,2041-2070,MEL_n,0.03876079428854336,0.03975414426633464,0.00511011090000076,0.03308629002982553,0.04985312511939144
SSP2-4.5 2041-2070,2041-2070,PIG_n,0.05496376113229336,0.05638363891840083,0.00491728739179129,0.04879286153112087,0.06675442838147579
SSP2-4.5 2071-2100,2071-2100,ERR_n,0.6711030814391346,0.6711045738884304,0.00691701588392948,0.6583620410471607,0.682277909353626
SSP2-4.5 2071-2100,2071-2100,ERS_n,0.4872980886678499,0.48887456723479134,0.01527099172917025,0.4635138101472634,0.5191752400663163
SSP2-4.5 2071-2100,2071-2100,BOJ_n,0.5283075783736213,0.5300218877924812,0.01780052635231348,0.495210022761035,0.5604215720941059
SSP2-4.5 2071-2100,2071-2100,BOP_n,0.6541490560300139,0.6554082254314841,0.01445567297572913,0.6292527418196854,0.682304579605306
SSP2-4.5 2071-2100,2071-2100,EPB_n,0.5444158202101048,0.5437753404197275,0.01199069186627723,0.5244375434026618,0.5686036387659682
SSP2-4.5 2071-2100,2071-2100,SAB_n,0.8161074354644855,0.8155919954215047,0.00735106598153442,0.8026801934684952,0.827664053508057
SSP2-4.5 2071-2100,2071-2100,EPN_n,0.21732454577685703,0.21656677930249865,0.00954824296161527,0.19909276609837975,0.23271355692437207
SSP2-4.5 2071-2100,2071-2100,THO_n,0.4630982864365932,0.4590093981177976,0.01862696111287725,0.42291057702299306,0.4904455137990171
SSP2-4.5 2071-2100,2071-2100,PRP_n,0.15776789919382755,0.1619706830701431,0.01790465086168202,0.13969750921444868,0.19745225392147336
SSP2-4.5 2071-2100,2071-2100,PET_n,0.34336542315633645,0.34430731367610656,0.01399905804308484,0.3205070038564473,0.3704036110966547
SSP2-4.5 2071-2100,2071-2100,PIB_n,0.22057196977413213,0.2223058892681777,0.01919236887848879,0.19221810266132663,0.2627655766759366
SSP2-4.5 2071-2100,2071-2100,MEL_n,0.03722668553226729,0.03700967942194597,0.0045884968846595,0.02885771746001719,0.04408837142168514
SSP2-4.5 2071-2100,2071-2100,PIG_n,0.04087450839061074,0.04087717663923056,0.00431391422950548,0.03511150216843219,0.04842085590376761
SSP3-7.0 2011-2040,2011-2040,ERR_n,0.3995441446287973,0.39781590981157133,0.00677241700988243,0.3858170069140288,0.4083488580679462
SSP3-7.0 2011-2040,2011-2040,ERS_n,0.23731418417734693,0.2363177141498685,0.00730838726956998,0.22245017707640663,0.2458472417443144
SSP3-7.0 2011-2040,2011-2040,BOJ_n,0.28384753862719836,0.28331315778506655,0.0055974312258040004,0.273394972695224,0.2934545240719554
SSP3-7.0 2011-2040,2011-2040,BOP_n,0.5540982682287376,0.5531532630891353,0.00661750673267403,0.5398634581831259,0.5640723459961088
SSP3-7.0 2011-2040,2011-2040,EPB_n,0.42338254613486537,0.42323365542866254,0.00704298594197342,0.4108326924686987,0.4367476395930665
SSP3-7.0 2011-2040,2011-2040,SAB_n,0.7330965332389185,0.7333761418360787,0.00450753914706992,0.725864259376772,0.74117635342855
SSP3-7.0 2011-2040,2011-2040,EPN_n,0.44266382004297605,0.44183790276236806,0.00526565356971224,0.4299554583183145,0.4486275725685761
SSP3-7.0 2011-2040,2011-2040,THO_n,0.19964316279964897,0.1977484195505736,0.00698588760313236,0.18446487007144396,0.20787847740186277
SSP3-7.0 2011-2040,2011-2040,PRP_n,0.09212228449220944,0.09096524546147625,0.00533712501635801,0.0802761072116106,0.09939510234190566
SSP3-7.0 2011-2040,2011-2040,PET_n,0.2353191273580454,0.23393956910176825,0.00653651401731682,0.22473157524284404,0.2450631783469057
SSP3-7.0 2011-2040,2011-2040,PIB_n,0.10062282739050037,0.1010695131157322,0.00667636800286889,0.09000928540477779,0.11465620939442396
SSP3-7.0 2011-2040,2011-2040,MEL_n,0.04278511930106718,0.04260434820440402,0.00373670086173716,0.03688639950468216,0.05060634324699202
SSP3-7.0 2011-2040,2011-2040,PIG_n,0.07894077178630164,0.07895660120466469,0.00354416376264829,0.07271092471908774,0.08555807148711844
SSP3-7.0 2041-2070,2041-2070,ERR_n,0.5911029328396551,0.5903626231587333,0.00659419841608807,0.5759610228846097,0.600000852680246
SSP3-7.0 2041-2070,2041-2070,ERS_n,0.4030673338745648,0.40213540836492784,0.01107907136650864,0.38576693383175115,0.41924444611644573
